Název programu;Název oboru;Jazyk výuky;Alias
Specializace v pedagogice;Společenské vědy se zaměřením na vzdělávání;Česky;['Zu-SVu', 'TVZu-SVu', 'ČJu-SVu', 'TchVu-SVu', 'NJu-SVu', 'AJu-SVu', 'Mu-SVu', 'VVu-SVu', 'Fu-SVu', 'Přu-SVu']
Specializace v pedagogice;Španělský jazyk se zaměřením na vzdělávání;Česky;['AJu-ŠJu', 'ČJu-ŠJu', 'ŠJu-ITu']
Specializace v pedagogice;Technická výchova se zaměřením na vzdělávání;Česky;['TchVu-Hu', 'TchVu-ČJu', 'Mu-TchVu', 'TchVu-SVu', 'TchVu-TVZu', 'TchVu-NJu', 'Fu-TchVu', 'TchVu-VVu', 'TchVu-TVu', 'TchVu-AJu']
Specializace v pedagogice;Tělesná výchova se zaměřením na vzdělávání;Česky;['Zu-TVu', 'Přu-TVu', 'Mu-TVu', 'TchVu-TVu']
Specializace v pedagogice;Výchova ke zdraví;Česky;['výchova ke zdraví', 'Mu-VKZu', 'VKZu-Přu', 'VKZu-AJu', 'NJu-VKZu']
Specializace v pedagogice;Výtvarná tvorba se zaměřením na vzdělávání (dvouoborové);Česky;['Výtvarná tvorba se zaměřením na vzdělávání (jednooborové)', 'NJu-VVu', 'Přu-VVu', 'ČJu-VVu', 'TchVu-VVu', 'VVu-SVu']
Specializace v pedagogice;Výtvarná tvorba se zaměřením na vzdělávání (jednooborové);Česky;['Výtvarná tvorba se zaměřením na vzdělávání (jednooborové)', 'NJu-VVu', 'Přu-VVu', 'ČJu-VVu', 'TchVu-VVu', 'VVu-SVu']
Specializace v pedagogice;Zeměpis se zaměřením na vzdělávání;Česky;['Zu-SVu', 'Zu-TVu', 'NJu-Zu', 'Zu-TVZu', 'Mu-Zu', 'Hu-Zu', 'Zu-Přu', 'Zu-AJu']
Specializace v pedagogice;Informační a komunikační technologie ve vzdělávání;Česky;['Informační a komunikační technologie, Učitelství pro 1. stupeň základních škol', 'Informační a komunikační technologie - certifikát, Učitelství pro 1. stupeň ZŠ - anglický jazyk pro 1. stupeň ZŠ', 'NŠ-ICT, Tělesná výchova pro 1. stupeň ZŠ', 'Informační a komunikační technologie - certifikát, Učitelství pro 1. stupeň základních škol', 'M-TVT/ZŠ', 'NŠ-ICT']
Tělesná výchova a sport;Tělesná výchova a sport se zaměřením na vzdělávání;Česky;['Zu-TVu', 'Přu-TVu', 'Mu-TVu', 'TchVu-TVu']
Tělesná výchova a sport;Učitelství tělesné výchovy pro střední školy;Česky;['Učitelství biologie pro SŠ - Učitelství tělesné výchovy pro SŠ', 'Bi-TV/SŠ, Učitelství tělesné výchovy', 'Učitelství tělesné výchovy pro střední školy (jednooborové)', 'M-TV/SŠ', 'M-TV/SŠ, Učitelství tělesné výchovy', 'Bi-TV/SŠ', 'TVn-PSYCHn', 'TchVn-TVSn', 'Přn-TVSn', 'Zn-TVSn', 'Inn-TVSn', 'TVS2-PS2', 'TV-VT/SŠ']
Tělesná výchova a sport;Učitelství tělesné výchovy pro základní školy;Česky;['NŠ-SPG, Tělesná výchova pro 1. stupeň ZŠ', 'Tělesná výchova pro 1. stupeň ZŠ, Učitelství pro 1. stupeň ZŠ - německý jazyk pro 1. stupeň ZŠ', 'Zn-TVZn', 'Mn-TVZn', 'TchVn-TVZn', 'Přn-TVZn', 'TV-TVT/ZŠ', 'Informační a komunikační technologie - certifikát, Tělesná výchova pro 1. stupeň ZŠ, Učitelství pro 1. stupeň ZŠ - anglický jazyk pro 1. stupeň ZŠ', 'Zn-TVn', 'Mn-TVn', 'Přn-TVn', 'TV-Z/ZŠ', 'NŠ-TV-C', 'FJ-TV/ZŠ']
Učitelství pro střední školy;Učitelství německého jazyka;Česky;['NJ-Bi/SŠ', 'NJ-CH/SŠ', 'D-NJ/SŠ', 'NJ-L/SŠ']
Učitelství pro střední školy;Učitelství výpočetní výchovy;Česky;['TchVn-TVSn', 'M-VT/SŠ', 'TV-VT/SŠ', 'F-VT/SŠ']
Učitelství pro střední školy;Učitelství hry na nástroj nebo zpěvu pro střední školy a základní umělecké školy;Česky;['Učitelství hry na nástroj nebo zpěvu pro střední školy a základní umělecké školy', 'ZUŠ (HVi)']
Učitelství pro střední školy;Učitelství hudební výchovy pro základní školy, střední školy a základní umělecké školy;Česky;['Učitelství hry na nástroj nebo zpěvu pro střední školy a základní umělecké školy', 'ZUŠ (HVi)']
Učitelství pro střední školy;Učitelství psychologie pro střední školy (dvouoborové);Česky;['TVn-PSYCHn', 'PSYCHn-VKZn']
Učitelství pro střední školy;Učitelství tělesné výchovy pro střední školy;Česky;['Učitelství biologie pro SŠ - Učitelství tělesné výchovy pro SŠ', 'Bi-TV/SŠ, Učitelství tělesné výchovy', 'Učitelství tělesné výchovy pro střední školy (jednooborové)', 'M-TV/SŠ', 'M-TV/SŠ, Učitelství tělesné výchovy', 'Bi-TV/SŠ', 'TVn-PSYCHn', 'TchVn-TVSn', 'Přn-TVSn', 'Zn-TVSn', 'Inn-TVSn', 'TVS2-PS2', 'TV-VT/SŠ']
Učitelství pro základní školy;Učitelství anglického jazyka pro 2. stupeň základních škol;Česky;['AJ-FJ/ZŠ', 'Zn-AJn', 'AJn-OVan', 'ČJn-AJn', 'AJn-Přn', 'ČJ-AJ/ZŠ', 'AJn-ŠJn', 'Mn-AJn', 'AJ-ŠJ/ZŠ', 'VKZn-AJn', 'Z-AJ/ZŠ', 'AJ-HV/ZŠ', 'TchVn-AJn', 'AJn-OVn', 'HVan-AJn', 'AJ-NJ/ZŠ', 'AJn-FJn', 'AJn-NJn', 'AJn-Dn', 'AJ-D/ZŠ']
Učitelství pro základní školy;Učitelství českého jazyka a literatury pro 2. stupeň základních škol;Česky;['ČJn-ŠJn', 'ČJ-HV/ZŠ', 'Přn-ČJn', 'ČJ-ŠJ/ZŠ', 'ČJn-OVan', 'ČJ-VV/ZŠ', 'HVan-ČJn', 'ČJn-AJn', 'ČJn-NJn', 'Mn-ČJn', 'ČJn-OVn', 'ČJ-OV/ZŠ', 'ČJn-VVn', 'ČJ-AJ/ZŠ', 'ČJ-VV/ZŠ společný základ', 'ČJ-FJ/ZŠ', 'ČJn-In']
Učitelství pro základní školy;Učitelství dějepisu pro 2. stupeň základních škol;Česky;['VV-D/ZŠ', 'Mn-Dn', 'D-Z/ZŠ', 'TchVn-Dn', 'Dn-Zn', 'AJn-Dn', 'AJ-D/ZŠ']
Učitelství pro základní školy;Učitelství francouzského jazyka pro 2. stupeň základních škol;Česky;['Z-FJ/ZŠ', 'FJ-OV/ZŠ', 'AJ-FJ/ZŠ', 'FJ-NJ/ZŠ', 'ŠJ-FJ/ZŠ', 'AJn-FJn', 'FJ-TV/ZŠ', 'ČJ-FJ/ZŠ']
Učitelství pro základní školy;Učitelství fyziky pro 2. stupeň základních škol;Česky;Učitelství fyziky pro 2. stupeň základních škol
Učitelství pro základní školy;Učitelství hudební výchovy pro 2. stupeň základních škol;Česky;['NJn-HVan', 'ČJ-HV/ZŠ', 'NJ-HV/ZŠ', 'HVan-ČJn', 'HVan-Chn', 'HVan-Mn', 'NŠ-HV-C', 'NJn-HVn', 'AJ-HV/ZŠ', 'HVan-AJn', 'HVan-Přn', 'HVan-Man', 'NŠ-HV-C, Filosofie pro děti']
Učitelství pro základní školy;Učitelství chemie pro 2. stupeň základních škol;Česky;['Př-Ch/ZŠ', 'Mn-Chn', 'HVan-Chn', 'F-VTE/ZŠ, F-Ch/ZŠ', 'Fyn-Chn', 'Přn-Chn']
