'code','institution','address','url','library-url'
'vysoka_skola_manazerske_informatiky_a_ekonomiky','Vysoká škola podnikání a práva (Vysoká škola manažerské informatiky a ekonomiky)','Vltavská 585/14, 150 00  Praha 5','https://www.vspp.cz/','https://www.vspp.cz/cs/kontakty/knihovna'
'vutbr','Vysoké učení technické v Brně‎','Antonínská 548/1, 601 90 Brno','http://www.vutbr.cz/','http://www.vutbr.cz/knihovny/'
'vvud','Výzkumný a vývojový ústav dřevařský, Praha, s.p.','Na Florenci 7-9, 111 71 Praha 1','http://www.vvud.cz',
'vyzkumny_ustav_silva_taroucy','Výzkumný ústav Silva Taroucy pro krajinu a okrasné zahradnictví, v.v.i.','Květnové náměstí 391, 252 43 Průhonice','http://www.vukoz.cz/','http://www.vukoz.cz/index.php/knihovna'
'vyzkumny_ustav_bezpecnosti_prace','Výzkumný ústav bezpečnosti práce, v.v.i.','Jeruzalémská 9, 116 52 Praha 1','http://www.vubp.cz/','https://www.vubp.cz/knihovna'
'vugtk','Výzkumný ústav geodetický, topografický a kartografický','Ústecká 98, 250 66 Zdiby','http://www.vugtk.cz/',
'vyzkumny_ustav_lesniho_hospodarstvi_a_myslivosti','Výzkumný ústav lesního hospodářství a myslivosti, v.v.i.','Strnady 136, 252 02 Jíloviště','http://www.vulhm.cz/',
'vyzkumny_ustav_potravinarsky','Výzkumný ústav potravinářský Praha, v.v.i.','Radiová 1285/7, 102 00 Praha','http://www.vupp.cz',
'vyzkumny_ustav_prace_a_socialnich_veci','Výzkumný ústav práce a sociálních věcí, v.v.i.','Palackého náměstí 4, 128 01 Praha 2','http://www.vupsv.cz/','https://www.vupsv.cz/knihovna/'
'vyzkumny_ustav_rostlinne_vyroby','Výzkumný ústav rostlinné výroby','Karlštejn 26, 267 18 Karlštejn','http://www.vurv.cz/','https://www.vurv.cz/index.php?p=knihovna&site=pro_verejnost'
'woodexpert','WOODEXPERT s.r.o.','Tečovice 45, 763 02 Zlín - Tečovice','http://woodexpert.cz/',
'zapadoceska_univerzita','Západočeská univerzita v Plzni','Univerzitní  8/2732, 301 00 Plzeň','https://www.zcu.cz/',
'zapadoceske_muzeum_v_plzni','Západočeské muzeum v Plzni','Kopeckého sady 2, 301 00 Plzeň','http://www.zcm.cz/','https://www.zcm.cz/nabizime/sluzby-knihovny'
'ujep_usgs','ÚJEP - Ústav slovansko-germánských studií','Pasteurova 13, 400 96 Ústí nad Labem','http://ff.ujep.cz/index.php/2011-06-23-15-03-48/menu-usgs/o-ustavu',
'ustav_analyticke_chemie','Ústav analytické chemie','Veveří 97, 602 00 Brno','http://www.iach.cz/','http://www.iach.cz/uiach/cz/knihovna.htm'
'ustav_anorganicke_chemie','Ústav anorganické chemie','Husinec-Řež č.p. 1001, 250 68 Řež','http://www.iic.cas.cz/','http://www.iic.cas.cz/cz/pro_verejnost_knihovna'
'ustav_archeologicke_pamatkove_pece_severozapadnich_cech','Ústav archeologické památkové péče severozápadních Čech, v.v.i.','Jana Žižky 835, Most 434 01 ','http://www.uappmost.cz/wp/',
'ustav_biologie_obratlovcu','Ústav biologie obratlovců','Květná 8, 603 65 Brno','http://www.ivb.cz','https://www.ivb.cz/ustav/knihovna/'
'ustav_chemickych_procesu','Ústav chemických procesů','Rozvojová 135, 165 02 Praha 6','http://www.icpf.cas.cz/','http://www.icpf.cas.cz/cs/knihovna'
'ustav_dejin_umeni','Ústav dějin umění','Husova 4, 110 00 Praha 1','http://www.udu.cas.cz/','http://www.udu.cas.cz/cs/knihovna/'
'ustav_experimentalni_botaniky','Ústav experimentální botaniky','Rozvojová 263, 165 02 Praha 6-Lysolaje','http://www.ueb.cas.cz/','http://www.ueb.cas.cz/cs/content/it-knihovna-svi'
'ustav_experimentalni_mediciny','Ústav experimentální medicíny','Vídeňská 1083, 142 20 Praha 4','http://www.iem.cas.cz/',
'farmakologicky_ustav','Ústav experimentální medicíny','Vídeňská 1083, 142 20 Praha 4','http://www.iem.cas.cz/',
'ustav_fotoniky_a_elektroniky','Ústav fotoniky a elektroniky','Chaberská 57, 182 51 Praha 8','http://www.ufe.cz/','http://www.ufe.cz/cs/knihovna'
'ustav_fyziky_atmosfery','Ústav fyziky atmosféry','Boční II/1401, 141 31 Praha 4','http://www.ufa.cas.cz/','http://www.ufa.cas.cz/knihovna/o-knihovne.html'
'ustav_fyziky_materialu','Ústav fyziky materiálů','Žižkova 22, 616 62 Brno','http://www.ipm.cz/',
'ustav_fyziky_plazmatu','Ústav fyziky plazmatu','Za Slovankou 3, 182 00 Praha 8','http://www.ipp.cas.cz/',
'ustav_fyzikalni_chemie_j_heyrovskeho','Ústav fyzikální chemie J. Heyrovského','Dolejškova 3 ,  182 23 Praha 8','http://www.jh-inst.cas.cz/','http://www.jh-inst.cas.cz/www/detail.php?p=88'
'ustav_geoniky','Ústav geoniky','Studentská 1768 ,  708 00 Ostrava - Poruba','http://www.ugn.cas.cz/',
'ustav_informatiky','Ústav informatiky','Pod vodárenskou věží 2, 182 07 Praha 8','http://www.cs.cas.cz/','http://www.ustavinformatiky.cz/?id_jazyk=cs&id_stranky=knihovna'
'ustav_jaderne_fyziky','Ústav jaderné fyziky','Husinec - Řež 130, 250 68 Řež','http://www.ujf.cas.cz/','http://www.ujf.cas.cz/cs/intranet/knihovna/'
'ustav_makromolekularni_chemie','Ústav makromolekulární chemie','Heyrovského nám. 2, 162 06 Praha 6','http://www.imc.cas.cz/','http://www.imc.cas.cz/cz/umch/knihovna_umch.htm'
'ustav_molekularni_biologie_rostlin','Ústav molekulární biologie rostlin','Branišovská 1160/31, České Budějovice','http://www.bc.cas.cz/',
'ustav_molekularni_genetiky','Ústav molekulární genetiky','Vídeňská 1083,  142 20 Praha 4','http://www.img.cas.cz/',
'ustav_organicke_chemie_a_biochemie','Ústav organické chemie a biochemie','Flemingovo nám. 2, 166 10 Praha 6','http://www.uochb.cz/','http://library.uochb.cas.cz/'
'ustav_pro_dejiny_umeni_ff_uk','Ústav pro dějiny umění FF UK','Celetná 20, 116 12 Praha 1','http://udu2.ff.cuni.cz','http://udu2.ff.cuni.cz/node/18'
'ustav_pro_hydrodynamiku','Ústav pro hydrodynamiku','Pod Paťankou 30 / 5, 166 12 Praha 6','http://www.ih.cas.cz/','https://www.ih.cas.cz/knihovna/'
'ustav_pro_jazyk_cesky','Ústav pro jazyk český','Letenská 4, 118 51 Praha 1','http://www.ujc.cas.cz/','http://www.ujc.cas.cz/o-ustavu/knihovna.html'
'ustav_pro_soudobe_dejiny','Ústav pro soudobé dějiny','Vlašská 9, 118 40 Praha 1','http://www.usd.cas.cz/','http://www.usd.cas.cz/knihovna/'
'ustav_pro_studium_totalitnich_rezimu','Ústav pro studium totalitních režimů','Siwiecova 2, 130 00 Praha 3','http://www.ustrcr.cz/','http://www.ustrcr.cz/cs/knihovna-jana-langose'
'ustav_pro_ceskou_literaturu','Ústav pro českou literaturu','Na Florenci 3/1420, 110 15 Praha 1','http://www.ucl.cas.cz','http://www.ucl.cas.cz/cs/knihovna/elektronicky-katalog'
'ustav_pristrojove_techniky','Ústav přístrojové techniky','Královopolská 147, 612 64 Brno','http://www.isibrno.cz/',
'ustav_pudni_biologie','Ústav půdní biologie','Na Sádkách 7, 370 05 České Budějovice','http://www.upb.cas.cz/',
'ustav_struktury_a_mechaniky_hornin','Ústav struktury a mechaniky hornin','V Holešovičkách 41, 182 09 Praha 8','http://www.irsm.cas.cz/',
'ustav_statu_a_prava','Ústav státu a práva','Národní 18, 116 00 Praha 1','http://www.ilaw.cas.cz/','https://www.ilaw.cas.cz/sluzby-on-line-knihovna/aktuality.html'
'ustav_teoreticke_a_aplikovane_mechaniky','Ústav teoretické a aplikované mechaniky','Prosecká 76, 190 00 Praha 9','http://www.itam.cas.cz/','http://www.itam.cas.cz/oddeleni/knihovna/'
'ustav_teorie_informace_a_automatizace','Ústav teorie informace a automatizace','Pod vodárenskou věží 4, 182 08 Praha 8','http://www.utia.cas.cz/','https://www.utia.cas.cz/cs/KN_'
'ustav_termomechaniky','Ústav termomechaniky','Dolejškova 5, 182 00 Praha 8','http://www.it.cas.cz/','http://www.it.cas.cz/cs/lib'
'ustav_fyzikalniho_inzenyrstvi','Ústav termomechaniky','Dolejškova 5, 182 00 Praha 8','http://www.it.cas.cz/','http://www.it.cas.cz/cs/lib'
'ustav_pro_elektrotechniku','Ústav termomechaniky','Dolejškova 5, 182 00 Praha 8','http://www.it.cas.cz/','http://www.it.cas.cz/cs/lib'
'centrum_vyzkumu_globalni_zmeny','Ústav výzkumu globální změny','Bělidla 4a, 603 00 Brno','http://www.czechglobe.cz/','http://www.czechglobe.cz/cs/knihovna/'
'ustav_zivocisne_fyziologie_a_genetiky','Ústav živočišné fyziologie a genetiky','Rumburská 89, 277 21 Liběchov','http://www.iapg.cas.cz/',
'urad_prumysloveho_vlastnictvi','Úřad průmyslového vlastnictví','Antonína Čermáka 2a, 160 68 Praha 6','http://upv.cz/','http://upv.cz/cs/sluzby-uradu/informacni-sluzby.html'
'ceska_narodni_banka','ČNB','Na příkopě 864/28, 110 00 Praha 1-Nové Město','http://www.cnb.cz',
'ceska_asociace_ergoterapeutu','Česká asociace ergoterapeutů','Kloboučnická 1627/7, 140 00 Praha 4','http://ergoterapie.cz/',
'ceska_asociace_paraplegiku','Česká asociace paraplegiků','Ovčárská 471, 108 00 Praha 10','http://www.czepa.cz/',
'crdm','Česká rada dětí a mládeže','Senovážné nám. 977/24, 110 00 Praha 1','http://crdm.cz/',
'ceska_spolecnost_ornitologicka','Česká společnost ornitologická','Na Bělidle 34, 150 00 Praha','http://www.birdlife.cz/',
'ceska_zemedelska_univerzita','Česká zemědělská univerzita v Praze','Kamýcká 129, 165 21 Praha 6 - Suchdol','http://czu.cz/','http://vskp.czu.cz/'
'cvut','České vysoké učení technické v Praze','Zikova 1903/4, 166 36 Praha 6','https://www.cvut.cz/',
'cesky_statisticky_urad','Český statistický úřad','Na padesátém 3268/81, 100 82 Praha 10','https://www.czso.cz/',
'clovek_v_tisni','Člověk v tísni, o.p.s','Šafaříkova 635/24, 120 00 Praha 2','http://www.clovekvtisni.cz',
