code,isPartOf,isPartOf2,institution,address,url,library-url
narodni_informacni_a_poradenske_stredisko_pro_kulturu,vi,research,"Národní informační a poradenské středisko pro kulturu (NIPOS)","Fügnerovo náměstí 1866/5, 120 21 Praha 2","http://www.nipos-mk.cz/",""
narodni_knihovna,libraries,culture,"Národní knihovna ČR","Klementinum 190, 110 00 Praha 1","https://www.nkp.cz/",""
narodni_lekarska_knihovna,libraries,culture,"Národní lékařská knihovna","Sokolská 54, 121 32 Praha 2","http://www.nlk.cz/",""
narodni_muzeum,museums,culture,"Národní muzeum","Václavské nám. 68, 115 79 Praha 1","http://www.nm.cz/",""
narodni_pamatkovy_ustav,null,culture,"Národní památkový ústav","Valdštejnské náměstí 3, čp. 162, 118 01 Praha 1","http://www.npu.cz/",""
narodni_technicka_knihovna,libraries,culture,"Národní technická knihovna","Technická 6, 160 80 Praha 6 - Dejvice","http://techlib.cz/",""
narodni_technicke_muzeum,museums,culture,"Národní technické muzeum","Kostelní 1320/42, 170 00 Praha-Holešovice","http://www.ntm.cz/","http://www.ntm.cz/archiv-knihovna"
narodni_zemedelske_muzeum,museums,culture,"Národní zemědělské muzeum","Kostelní 44, 170 00 Praha 7","http://nzm.cz/",""
narodohospodarsky_ustav,avcr,research,"Národohospodářský ústav","Politických vězňů 7, 111 21 Praha 1","http://www.ei.cas.cz",""
nulk,null,culture,"Národní ústav lidové kultury","Zámek 672, 696 62 Strážnice","http://www.nulk.cz/",""
nuv,null,gov,"Národní ústav pro vzdělávání","Weilova 1271/6, 102 00 Praha 10","http://www.nuv.cz",""
orientalni_ustav,avcr,research,"Orientální ústav","Pod vodárenskou věží 4 ,  182 08 Praha 8","http://www.orient.cas.cz/","http://www.orient.cas.cz/knihovna/"
oseva,vi,research,"OSEVA vývoj a výzkum s.r.o.","Hamerská 698, 756 54 Zubří","http://www.oseva-vav.cz",""
ostravska_univerzita,public_uni,edu,"Ostravská univerzita","Dvořákova 7, 701 03  Ostrava","http://www.osu.cz/",""
